év;név;ország;sportág;helyezés
1992;Maksim TARASOV;EUN;rúdugrás;1
2000;Arsi HARJU;FIN;súlylökés;1
1988;Mei-Su LI;CHN;súlylökés;1
1981;Florenta TACU-CRAICIUNESCU;ROU;diszkoszvetés;1
1961;Tatyana SHCHELKANOVA;URS;távolugrás;1
1988;Fatima WHITBREAD;GBR;gerelyhajítás;2
1908;Cornelius LEAHY;GBR;magasugrás;1
1960;Lia MANOLIU;ROU;diszkoszvetés;1
1960;Nina ROMASHKOVA-PONOMAREVA;URS;diszkoszvetés;1
1926;Irina BEGLYAKOVA;URS;diszkoszvetés;2
1901;Ralph ROSE;USA;kalapácsvetés;1
1936;Sueo OE;JPN;rúdugrás;1
1992;Daniela COSTIAN;AUS;diszkoszvetés;1
2012;Will CLAYE;USA;hármasugrás;2
2012;Svetlana SHKOLINA;RUS;magasugrás;1
1900;Ray EWRY;USA;helyből távolugrás;1
2001;Irina SIMAGINA;RUS;távolugrás;2
1922;Aleksandra CHUDINA;URS;távolugrás;2
1912;Vasili KHMELEVSKY;URS;kalapácsvetés;1
1996;Carl LEWIS;USA;távolugrás;1
1992;Michael D, STULCE;USA;súlylökés;1
1992;Javier GARCIA CHICO;ESP;rúdugrás;1
2000;Hestrie CLOETE;RSA;magasugrás;2
2001;Andreas THORKILDSEN;NOR;gerelyhajítás;1
1921;Lemuel Clarence HOUSER;USA;súlylökés;1
2008;Jennifer STUCZYNSKI;USA;rúdugrás;2
1996;Jackie JOYNER-KERSEE;USA;távolugrás;1
1988;Grigori EGOROV;URS;rúdugrás;1
1912;Eva SURANOVA;TCH;távolugrás;1
1912;Nadezhda CHIZHOVA;URS;súlylökés;1
1922;Nina ROMASHKOVA-PONOMAREVA;URS;diszkoszvetés;1
1896;Albert TYLER;USA;rúdugrás;2
1996;Sarka KASPARKOVA;CZE;hármasugrás;1
1926;Inese YAUNZEME;URS;gerelyhajítás;1
1961;Valeri BRUMEL;URS;magasugrás;1
2008;Aksana MIANKOVA;BLR;kalapácsvetés;1
1936;Yrjo Jouko NIKKANEN;FIN;gerelyhajítás;2
1928;Antero Lauro KIVI;FIN;diszkoszvetés;2
1900;Josiah MCCRACKEN;USA;súlylökés;2
1896;Miltiadis GOUSKOS;GRE;súlylökés;2
2012;Oleksandr PYATNYTSYA;UKR;gerelyhajítás;2
1961;Iolanda BALAS;ROU;magasugrás;1
1936;Sulo BÄRLUND;FIN;súlylökés;2
1916;Yordanka BLAGOEVA-DIMITROVA;BUL;magasugrás;1
1918;Micheline OSTERMEYER;FRA;diszkoszvetés;1
1988;Heike DRECHSLER;GDR;távolugrás;2
1996;Eric Randolph BARNES;USA;súlylökés;1
2001;Christian OLSSON;SWE;hármasugrás;1
1992;James DOEHRING;USA;súlylökés;2
1936;Luise KRÜGER;GER;gerelyhajítás;2
1912;Ulrike MEYFARTH;FRG;magasugrás;1
1908;Ray EWRY;USA;helyből távolugrás;1
1996;Yoelvis QUESADA;CUB;hármasugrás;1
1992;Michael Anthony POWELL;USA;távolugrás;2
1961;Ludvik DANEK;TCH;diszkoszvetés;2
1916;Wolfgang SCHMIDT;GDR;diszkoszvetés;2
1980;Gerd WESSIG;GDR;magasugrás;1
1928;Emil HIRSCHFELD;GER;súlylökés;1
1900;Ray EWRY;USA;helyből magasugrás;1
1961;Taisiya CHENCHIK;URS;magasugrás;1
1932;Henri Jean LABORDE;USA;diszkoszvetés;2
